,epoch,step,reward,done,action,evaluation_state
353,69.0,3.0,1.0,0.0,0.0,1.0
354,69.0,4.0,0.0,1.0,0.0,1.0
355,70.0,0.0,1.0,0.0,1.0,0.0
356,70.0,1.0,1.0,0.0,2.0,0.0
357,70.0,2.0,1.0,0.0,0.0,0.0
358,70.0,3.0,1.0,0.0,2.0,0.0
359,70.0,4.0,1.0,0.0,0.0,0.0
360,70.0,5.0,0.0,1.0,0.0,0.0
361,71.0,0.0,1.0,0.0,1.0,1.0
362,71.0,1.0,1.0,0.0,1.0,1.0
363,71.0,2.0,1.0,0.0,0.0,1.0
364,71.0,3.0,1.0,0.0,0.0,1.0
365,71.0,4.0,0.0,1.0,0.0,1.0
366,72.0,0.0,1.0,0.0,1.0,0.0
367,72.0,1.0,1.0,0.0,0.0,0.0
368,72.0,2.0,1.0,0.0,2.0,0.0
369,72.0,3.0,1.0,0.0,2.0,0.0
370,72.0,4.0,1.0,0.0,2.0,0.0
371,72.0,5.0,0.0,1.0,0.0,0.0
372,73.0,0.0,1.0,0.0,1.0,1.0
373,73.0,1.0,1.0,0.0,1.0,1.0
374,73.0,2.0,1.0,0.0,2.0,1.0
375,73.0,3.0,1.0,0.0,2.0,1.0
376,73.0,4.0,0.0,1.0,2.0,1.0
377,74.0,0.0,1.0,0.0,2.0,0.0
378,74.0,1.0,1.0,0.0,2.0,0.0
379,74.0,2.0,1.0,0.0,2.0,0.0
380,74.0,3.0,1.0,0.0,2.0,0.0
381,74.0,4.0,1.0,0.0,0.0,0.0
382,74.0,5.0,0.0,1.0,0.0,0.0
383,75.0,0.0,1.0,0.0,1.0,1.0
384,75.0,1.0,1.0,0.0,1.0,1.0
385,75.0,2.0,1.0,0.0,2.0,1.0
386,75.0,3.0,1.0,0.0,0.0,1.0
387,75.0,4.0,0.0,1.0,2.0,1.0
388,76.0,0.0,1.0,0.0,0.0,0.0
389,76.0,1.0,1.0,0.0,2.0,0.0
390,76.0,2.0,1.0,0.0,2.0,0.0
391,76.0,3.0,0.0,1.0,2.0,0.0
392,77.0,0.0,1.0,0.0,1.0,1.0
393,77.0,1.0,1.0,0.0,0.0,1.0
394,77.0,2.0,1.0,0.0,2.0,1.0
395,77.0,3.0,1.0,0.0,2.0,1.0
396,77.0,4.0,1.0,0.0,2.0,1.0
397,77.0,5.0,0.0,1.0,2.0,1.0
398,78.0,0.0,1.0,0.0,0.0,0.0
399,78.0,1.0,1.0,0.0,1.0,0.0
400,78.0,2.0,1.0,0.0,2.0,0.0
401,78.0,3.0,1.0,0.0,1.0,0.0
402,78.0,4.0,1.0,0.0,0.0,0.0
403,78.0,5.0,0.0,1.0,0.0,0.0
404,79.0,0.0,1.0,0.0,1.0,1.0
405,79.0,1.0,1.0,0.0,1.0,1.0
406,79.0,2.0,1.0,0.0,2.0,1.0
407,79.0,3.0,1.0,0.0,0.0,1.0
408,79.0,4.0,0.0,1.0,2.0,1.0
409,80.0,0.0,1.0,0.0,1.0,0.0
410,80.0,1.0,1.0,0.0,1.0,0.0
411,80.0,2.0,1.0,0.0,2.0,0.0
412,80.0,3.0,0.0,1.0,1.0,0.0
413,81.0,0.0,1.0,0.0,1.0,1.0
414,81.0,1.0,1.0,0.0,1.0,1.0
415,81.0,2.0,1.0,0.0,2.0,1.0
416,81.0,3.0,1.0,0.0,0.0,1.0
417,81.0,4.0,0.0,1.0,2.0,1.0
418,82.0,0.0,1.0,0.0,1.0,0.0
419,82.0,1.0,1.0,0.0,0.0,0.0
420,82.0,2.0,1.0,0.0,2.0,0.0
421,82.0,3.0,1.0,0.0,2.0,0.0
422,82.0,4.0,1.0,0.0,2.0,0.0
423,82.0,5.0,0.0,1.0,0.0,0.0
424,83.0,0.0,1.0,0.0,1.0,1.0
425,83.0,1.0,1.0,0.0,0.0,1.0
426,83.0,2.0,1.0,0.0,2.0,1.0
427,83.0,3.0,1.0,0.0,2.0,1.0
428,83.0,4.0,1.0,0.0,2.0,1.0
429,83.0,5.0,1.0,0.0,2.0,1.0
430,83.0,6.0,0.0,1.0,0.0,1.0
431,84.0,0.0,1.0,0.0,0.0,0.0
432,84.0,1.0,1.0,0.0,1.0,0.0
433,84.0,2.0,1.0,0.0,0.0,0.0
434,84.0,3.0,0.0,1.0,2.0,0.0
435,85.0,0.0,1.0,0.0,1.0,1.0
436,85.0,1.0,1.0,0.0,0.0,1.0
437,85.0,2.0,1.0,0.0,2.0,1.0
438,85.0,3.0,1.0,0.0,2.0,1.0
439,85.0,4.0,1.0,0.0,2.0,1.0
440,85.0,5.0,1.0,0.0,2.0,1.0
441,85.0,6.0,0.0,1.0,1.0,1.0
442,86.0,0.0,1.0,0.0,0.0,0.0
443,86.0,1.0,1.0,0.0,0.0,0.0
444,86.0,2.0,1.0,0.0,0.0,0.0
445,86.0,3.0,0.0,1.0,2.0,0.0
446,87.0,0.0,1.0,0.0,1.0,1.0
447,87.0,1.0,1.0,0.0,0.0,1.0
448,87.0,2.0,1.0,0.0,2.0,1.0
449,87.0,3.0,1.0,0.0,2.0,1.0
450,87.0,4.0,1.0,0.0,2.0,1.0
451,87.0,5.0,1.0,0.0,2.0,1.0
452,87.0,6.0,0.0,1.0,1.0,1.0
453,88.0,0.0,1.0,0.0,1.0,0.0
454,88.0,1.0,1.0,0.0,1.0,0.0
455,88.0,2.0,1.0,0.0,2.0,0.0
456,88.0,3.0,0.0,1.0,1.0,0.0
457,89.0,0.0,1.0,0.0,1.0,1.0
458,89.0,1.0,1.0,0.0,0.0,1.0
459,89.0,2.0,1.0,0.0,0.0,1.0
460,89.0,3.0,1.0,0.0,1.0,1.0
461,89.0,4.0,0.0,1.0,0.0,1.0
462,90.0,0.0,1.0,0.0,2.0,0.0
463,90.0,1.0,1.0,0.0,2.0,0.0
464,90.0,2.0,1.0,0.0,2.0,0.0
465,90.0,3.0,1.0,0.0,2.0,0.0
466,90.0,4.0,1.0,0.0,1.0,0.0
467,90.0,5.0,0.0,1.0,2.0,0.0
468,91.0,0.0,1.0,0.0,1.0,1.0
469,91.0,1.0,1.0,0.0,0.0,1.0
470,91.0,2.0,1.0,0.0,2.0,1.0
471,91.0,3.0,1.0,0.0,2.0,1.0
472,91.0,4.0,1.0,0.0,2.0,1.0
473,91.0,5.0,0.0,1.0,2.0,1.0
474,92.0,0.0,1.0,0.0,1.0,0.0
475,92.0,1.0,1.0,0.0,0.0,0.0
476,92.0,2.0,1.0,0.0,0.0,0.0
477,92.0,3.0,0.0,1.0,1.0,0.0
478,93.0,0.0,1.0,0.0,1.0,1.0
479,93.0,1.0,1.0,0.0,0.0,1.0
480,93.0,2.0,1.0,0.0,2.0,1.0
481,93.0,3.0,1.0,0.0,2.0,1.0
482,93.0,4.0,1.0,0.0,2.0,1.0
483,93.0,5.0,0.0,1.0,0.0,1.0
484,94.0,0.0,1.0,0.0,2.0,0.0
485,94.0,1.0,1.0,0.0,2.0,0.0
486,94.0,2.0,1.0,0.0,2.0,0.0
487,94.0,3.0,1.0,0.0,2.0,0.0
